
             | 实际值 
      预测值 |         1 |         2 |         3 |         4 |         5 |         6 |         7 |         8 |         9 |        10 |        11 |        12 |        13 |        14 |        15 |        16 |        17 |        18 | Row Total | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
           1 |       177 |         0 |         0 |         0 |         0 |         7 |         3 |         2 |         0 |         1 |         0 |         0 |         1 |         0 |         0 |         0 |         0 |         0 |       191 | 
             |     0.927 |     0.000 |     0.000 |     0.000 |     0.000 |     0.037 |     0.016 |     0.010 |     0.000 |     0.005 |     0.000 |     0.000 |     0.005 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.067 | 
             |     0.967 |     0.000 |     0.000 |     0.000 |     0.000 |     0.037 |     0.012 |     0.011 |     0.000 |     0.007 |     0.000 |     0.000 |     0.031 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |           | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
           2 |         1 |        76 |         2 |         0 |         0 |         0 |         0 |         2 |         1 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |        82 | 
             |     0.012 |     0.927 |     0.024 |     0.000 |     0.000 |     0.000 |     0.000 |     0.024 |     0.012 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.029 | 
             |     0.005 |     0.987 |     0.011 |     0.000 |     0.000 |     0.000 |     0.000 |     0.011 |     0.005 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |           | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
           3 |         0 |         1 |       174 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         1 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |       176 | 
             |     0.000 |     0.006 |     0.989 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.006 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.061 | 
             |     0.000 |     0.013 |     0.972 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.005 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |           | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
           4 |         0 |         0 |         0 |        53 |        13 |         0 |         2 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |        68 | 
             |     0.000 |     0.000 |     0.000 |     0.779 |     0.191 |     0.000 |     0.029 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.024 | 
             |     0.000 |     0.000 |     0.000 |     0.803 |     0.310 |     0.000 |     0.008 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |           | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
           5 |         0 |         0 |         0 |        13 |        29 |         0 |         2 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |        44 | 
             |     0.000 |     0.000 |     0.000 |     0.295 |     0.659 |     0.000 |     0.045 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.015 | 
             |     0.000 |     0.000 |     0.000 |     0.197 |     0.690 |     0.000 |     0.008 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |           | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
           6 |         1 |         0 |         1 |         0 |         0 |       183 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |       185 | 
             |     0.005 |     0.000 |     0.005 |     0.000 |     0.000 |     0.989 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.064 | 
             |     0.005 |     0.000 |     0.006 |     0.000 |     0.000 |     0.958 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |           | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
           7 |         2 |         0 |         1 |         0 |         0 |         0 |       239 |         1 |         2 |         1 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         2 |       248 | 
             |     0.008 |     0.000 |     0.004 |     0.000 |     0.000 |     0.000 |     0.964 |     0.004 |     0.008 |     0.004 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.008 |     0.086 | 
             |     0.011 |     0.000 |     0.006 |     0.000 |     0.000 |     0.000 |     0.968 |     0.005 |     0.011 |     0.007 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.010 |           | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
           8 |         1 |         0 |         0 |         0 |         0 |         0 |         0 |       178 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         1 |         0 |         0 |       180 | 
             |     0.006 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.989 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.006 |     0.000 |     0.000 |     0.063 | 
             |     0.005 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.937 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.006 |     0.000 |     0.000 |           | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
           9 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |       177 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |       177 | 
             |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     1.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.062 | 
             |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.967 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |           | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
          10 |         0 |         0 |         0 |         0 |         0 |         1 |         0 |         5 |         0 |       145 |         2 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |       153 | 
             |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.007 |     0.000 |     0.033 |     0.000 |     0.948 |     0.013 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.053 | 
             |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.005 |     0.000 |     0.026 |     0.000 |     0.973 |     0.010 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |           | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
          11 |         0 |         0 |         0 |         0 |         0 |         0 |         1 |         0 |         0 |         0 |       192 |         0 |         0 |         0 |         0 |         0 |         0 |         1 |       194 | 
