ID	Title	CategoryID	CategoryName
1	雀巢 脆脆鲨 威化巧克力（巧克力味夹心）20g*24/盒	1	饼干
2	奥利奥 原味夹心饼干 390g/袋	1	饼干
3	嘉顿 香葱薄饼 225g/盒	1	饼干
4	Aji 苏打饼干 酵母减盐味 472.5g/袋	1	饼干
5	趣多多 曲奇饼干 经典巧克力原味 285g/袋	1	饼干
6	趣多多 曲奇饼干 经典巧克力原味 285g/袋 X 2	1	饼干
7	Aji 尼西亚惊奇脆片饼干 起士味 200g/袋	1	饼干
8	格力高 百醇 抹茶慕斯+提拉米苏+芝士蛋糕味48g*3盒	1	饼干
9	奥利奥 巧克力味夹心饼干 390g/袋	1	饼干
10	趣多多 巧克力味曲奇饼干 香脆米粒味 85g/袋	1	饼干
11	趣多多 巧克力味曲奇饼干 香脆米粒味 85g/袋 X 5	1	饼干
12	Aji 尼西亚惊奇脆片饼干200g/袋*4(起士味+蔬菜味+优格洋葱味+韩式泡菜味)	1	饼干
13	猴姑 酥性饼干 20天装 960g/盒	1	饼干
14	猴姑 酥性饼干 20天装 960g/盒 X 2	1	饼干
15	猴姑 酥性饼干 20天装 960g/盒 X 3	1	饼干
16	卡夫 牛奶优冠酥性饼干（纯正牛奶味）1KG/盒	1	饼干
17	卡夫 牛奶优冠酥性饼干（纯正牛奶味）1KG/盒 X 2	1	饼干
18	三牛 万年青饼干 528g/袋	1	饼干
19	太平 加铁梳打饼干（香葱口味）400g/袋	1	饼干
20	猴姑 买1送10 最新批次 江中猴姑饼干酥性饼干20天装960G 舌尖上的饼干	1	饼干
21	康元 提子饼干200g/盒	1	饼干
22	太平 梳打饼干（奶盐口味）400g/袋	1	饼干
23	太平 加铁梳打饼干（奶盐口味）400g/袋 X 3	1	饼干
24	Mini6合1系列饼干(奥利奥原味曲奇45g优冠软香饼牛奶味64g+趣多多香醇咖啡曲奇50g+ 趣多多巧克力味软式小饼50g+Mini奥利奥香草威化饼干45g+ Mini奥利奥金装巧克力味饼干55g	1	饼干
25	Mixx 柠檬味夹心饼干 600g	1	饼干
26	奥利奥 原味夹心饼干 325g/盒 3片×10包独立小包装	1	饼干
27	Aji 尼西亚惊奇脆片饼干 蔬菜味 200g/袋	1	饼干
28	格力高 全组合装 百醇7盒 百奇6盒 百力滋11盒 巧心柔3盒 星奇3盒 /全套共30盒	1	饼干
29	趣多多 软式甜饼 经典巧克力原味 240g/盒	1	饼干
30	趣多多 软式甜饼 经典巧克力原味 240g/盒 X 3	1	饼干
31	Mixx 牛奶味夹心饼干 600g	1	饼干
32	闲趣 韧性饼干（自然清咸原味）900g/盒	1	饼干
33	闲趣 韧性饼干（自然清咸原味）900g/盒 X 2	1	饼干
34	格力高 百奇装饰饼干 巧克力味 60g/盒	1	饼干
35	嘉顿 芝麻薄饼 225g/盒	1	饼干
36	思朗 纤麸 黑芝麻消化饼干 570g/袋	1	饼干
