	"listing_clusters$cluster"	"sample_ids"
"1"	37	1
"2"	37	2
"3"	41	3
"4"	39	4
"5"	24	5
"6"	98	6
"7"	96	7
"8"	16	8
"9"	36	9
"10"	84	10
"11"	59	11
"12"	41	12
"13"	41	13
"14"	30	14
"15"	16	15
"16"	45	16
"17"	79	17
"18"	11	18
"19"	84	19
"20"	5	20
"21"	59	21
"22"	71	22
"23"	89	23
"24"	23	24
"25"	93	25
"26"	4	26
"27"	56	27
"28"	65	28
"29"	59	29
"30"	44	30
"31"	14	31
"32"	4	32
"33"	8	33
"34"	41	34
"35"	91	35
"36"	62	36
"37"	30	37
"38"	43	38
"39"	49	39
"40"	37	40
"41"	36	41
"42"	63	42
"43"	16	43
"44"	61	44
"45"	77	45
"46"	45	46
"47"	56	47
"48"	88	48
"49"	45	49
"50"	41	50
"51"	41	51
"52"	65	52
"53"	82	53
"54"	13	54
"55"	98	55
"56"	53	56
"57"	95	57
"58"	19	58
"59"	55	59
"60"	64	60
"61"	41	61
"62"	41	62
"63"	31	63
"64"	91	64
"65"	62	65
"66"	71	66
"67"	42	67
"68"	37	68
"69"	24	69
"70"	95	70
"71"	25	71
"72"	41	72
"73"	14	73
"74"	45	74
"75"	70	75
"76"	84	76
"77"	44	77
"78"	41	78
"79"	43	79
"80"	46	80
"81"	88	81
"82"	41	82
"83"	58	83
"84"	15	84
"85"	36	85
"86"	41	86
"87"	20	87
"88"	34	88
"89"	41	89
"90"	99	90
"91"	41	91
"92"	24	92
"93"	76	93
"94"	9	94
"95"	41	95
"96"	45	96
"97"	34	97
"98"	20	98
"99"	41	99
"100"	91	100
"101"	65	101
"102"	61	102
"103"	4	103
"104"	25	104
"105"	41	105
"106"	66	106
"107"	45	107
"108"	77	108
"109"	36	109
"110"	17	110
"111"	37	111
"112"	79	112
"113"	41	113
"114"	68	114
"115"	14	115
"116"	37	116
"117"	41	117
"118"	30	118
"119"	15	119
"120"	88	120
"121"	63	121
"122"	41	122
"123"	34	123
"124"	59	124
"125"	4	125
"126"	20	126
"127"	25	127
"128"	41	128
"129"	68	129
"130"	61	130
"131"	41	131
"132"	87	132
"133"	4	133
"134"	18	134
"135"	99	135
"136"	41	136
"137"	59	137
"138"	92	138
"139"	4	139
"140"	34	140
"141"	64	141
"142"	30	142
"143"	23	143
"144"	62	144
"145"	43	145
"146"	5	146
"147"	7	147
"148"	83	148
"149"	99	149
"150"	11	150
"151"	51	151
"152"	77	152
"153"	71	153
"154"	20	154
"155"	37	155
"156"	41	156
"157"	41	157
"158"	47	158
"159"	76	159
"160"	73	160
"161"	28	161
"162"	59	162
"163"	16	163
"164"	5	164
"165"	41	165
"166"	41	166
"167"	93	167
"168"	14	168
"169"	61	169
"170"	81	170
"171"	34	171
"172"	41	172
"173"	77	173
"174"	20	174
"175"	45	175
"176"	90	176
"177"	14	177
"178"	21	178
"179"	28	179
"180"	41	180
"181"	45	181
"182"	63	182
"183"	46	183
"184"	56	184
"185"	100	185
"186"	77	186
"187"	5	187
"188"	35	188
"189"	34	189
"190"	65	190
"191"	33	191
"192"	84	192
"193"	81	193
"194"	87	194
"195"	33	195
"196"	30	196
"197"	41	197
"198"	31	198
"199"	84	199
"200"	41	200
"201"	3	201
"202"	60	202
"203"	24	203
"204"	27	204
"205"	90	205
"206"	58	206
"207"	17	207
"208"	61	208
"209"	74	209
"210"	67	210
"211"	23	211
"212"	91	212
"213"	41	213
"214"	30	214
"215"	89	215
"216"	33	216
"217"	41	217
"218"	11	218
"219"	45	219
"220"	11	220
"221"	58	221
"222"	13	222
"223"	67	223
"224"	91	224
"225"	45	225
"226"	24	226
"227"	62	227
"228"	2	228
"229"	70	229
"230"	78	230
"231"	52	231
"232"	11	232
"233"	55	233
"234"	80	234
"235"	91	235
"236"	76	236
"237"	34	237
"238"	4	238
"239"	23	239
"240"	4	240
"241"	84	241
"242"	95	242
"243"	8	243
"244"	66	244
"245"	41	245
"246"	50	246
"247"	45	247
"248"	34	248
"249"	41	249
"250"	71	250
"251"	44	251
"252"	45	252
"253"	45	253
"254"	41	254
"255"	61	255
"256"	64	256
"257"	91	257
"258"	93	258
"259"	84	259
"260"	30	260
"261"	65	261
"262"	11	262
"263"	77	263
"264"	5	264
"265"	45	265
"266"	79	266
"267"	20	267
"268"	25	268
"269"	74	269
"270"	20	270
"271"	41	271
"272"	58	272
"273"	41	273
"274"	41	274
"275"	99	275
"276"	41	276
"277"	20	277
"278"	20	278
"279"	45	279
"280"	41	280
"281"	52	281
"282"	44	282
"283"	44	283
"284"	67	284
"285"	23	285
"286"	91	286
"287"	73	287
"288"	13	288
"289"	20	289
"290"	34	290
"291"	5	291
"292"	21	292
"293"	77	293
"294"	6	294
"295"	41	295
"296"	52	296
"297"	71	297
"298"	14	298
"299"	80	299
"300"	75	300
"301"	41	301
"302"	25	302
"303"	41	303
"304"	45	304
"305"	45	305
"306"	41	306
"307"	14	307
"308"	8	308
"309"	47	309
"310"	41	310
"311"	88	311
"312"	84	312
"313"	28	313
