关键词	搜索次数	商品数量
海飞丝	83012	889
牙膏	56622	287
卫生巾	43688	324
牛奶	41437	681
饼干	40897	106
纸巾	39278	747
方便面	36469	603
卫生纸	29598	345
咖啡	26233	811
洗衣液	24960	835
垃圾袋	23978	26
黄飞红	23344	793
洗衣粉	22282	485
薯片	21880	669
盐汽水	21802	590
王老吉	21664	314
食用油	21633	25
洗手液	21450	485
牙刷	20978	279
手机	19036	82
奥利奥	18483	740
巧克力	17695	646
可乐	17346	526
蜂蜜	17020	398
格力高	16533	293
纸	16484	11
沐浴露	16198	394
香皂	15429	726
乐事	15381	179
毛巾	15317	15
洗发水	15183	662
口香糖	15113	494
洗洁精	15108	77
雀巢	14971	732
盐	14767	153
贝亲	14462	172
电池	14302	956
手表	14159	875
滴露	13869	12
酱油	13810	385
矿泉水	13762	200
诺基亚	13607	271
餐巾纸	13551	846
麦片	13396	389
清风	13325	606
海苔	13058	301
帮宝适	13046	992
上好佳	13029	631
资生堂	12874	610
肥皂	12739	11
日清	12604	318
醋	12560	727
农夫山泉	12413	899
啤酒	12237	868
大米	11987	674
苏菲	11873	5
洁云	11493	266
摩托车	11491	42
油	11471	983
卷纸	11449	420
月饼	11374	687
康师傅	11307	746
保鲜膜	11270	365
旺旺	11225	774
花生	11050	325
立顿	10985	339
玉兰油	10955	452
护舒宝	10927	477
口水娃	10680	733
瓜子	10624	719
开杯乐	10610	167
乐扣	10558	373
金龙鱼	10455	191
糖	10394	775
抽纸	10344	672
保鲜袋	10304	114
老干妈	10249	128
花露水	10012	91
蓝月亮	9975	762
自行车	9943	51
洗面奶	9934	272
欧莱雅	9905	849
湿巾	9796	408
榨菜	9736	535
冰糖	9719	866
枣	9606	586
电动车	9529	772
奶粉	9527	865
10743085	9462	519
八宝粥	9376	740
有友	9346	524
张君雅	9118	390
乐扣乐扣	9055	420
可口可乐	8677	685
冰红茶	8587	778
妮飘	8577	189
lenovo	8506	2
金纺	8464	433
相宜本草	8243	698
好奇	8236	334
干脆面	8231	723
强生	8199	860
潘婷	8169	577
桂格	8081	778
红枣	8062	706
米	8058	714
碧生源	7821	165
六神	7741	850
果冻	7731	827
护垫	7721	657
蚊香	7610	838
料酒	7527	150
牛肉干	7488	838
iPhone	7423	866
龟苓膏	7410	95
光明	7408	65
徐福记	7374	461
绿豆	7321	196
衣架	7035	484
鸡精	7034	3
湿纸巾	7032	257
雪碧	7021	4
漱口水	7015	715
维达	6966	501
雷达	6924	572
洗衣皂	6895	783
多芬	6881	900
护发素	6856	784
拖鞋	6673	795
苏打水	6637	388
面包	6629	47
酸奶	6625	989
329044	6602	796
好丽友	6571	958
面膜	6570	837
化妆棉	6480	197
面粉	6468	575
麻油	6455	962
棉签	6432	432
泡面	6354	567
冰箱	6316	23
益达	6246	100
蛋糕	6207	491
妈咪宝贝	6195	467
悦活	6151	424
枸杞	6134	611
橄榄油	6108	604
肉松	6096	455
锅巴	6056	844
核桃	6044	903
内裤	6034	304
露得清	6018	93
小浣熊	5979	162
10036643	5970	500
蒙牛	5924	794
卷筒纸	5852	452
咖喱	5851	685
播放器	5812	145
苹果	5708	584
六月鲜	5666	968
凌仕	5661	348
手套	5647	966
心相印	5643	63
零食	5623	647
妙洁	5619	691
意大利面	5611	875
北田	5604	975
白砂糖	5600	943
舒洁	5578	473
李锦记	5563	262
脉动	5490	636
10930593	5485	594
空调	5475	252
乌龙茶	5469	55
狗粮	5437	960
三得利	5404	6
家安	5354	506
芒果干	5349	446
避孕套	5327	453
飘柔	5242	989
维他奶	5237	512
草纸	5217	468
水	5215	18
舒肤佳	5205	767
菜园小饼	5105	452
奥妙	5100	26
红牛	5090	799
奶茶	5060	216
善存	5039	74
金针菇	5038	665
妙芙	5025	501
猫粮	5014	321
沙宣	4990	806
花生酱	4976	795
葡萄干	4944	569
怡丽	4935	525
美素	4932	633
柚子茶	4905	36
农心	4848	92
雀巢咖啡	4834	100
伞	4823	214
耳机	4722	936
凉席	4707	781
统一	4696	598
面	4651	671
少林寺	4548	12
天喔	4534	659
立丰	4532	393
沙琪玛	4513	708
趣多多	4467	50
十字绣	4446	924
消毒液	4445	707
酸梅汤	4415	788
防晒	4404	411
杏仁	4390	730
黄飞鸿	4375	290
休闲零食	4366	511
面包干	4358	846
电动 自行车	4306	837
拖把	4301	80
剃须刀	4299	829
美赞臣	4298	401
出前一丁	4271	442
纸杯	4267	739
新农哥	4257	793
生抽	4256	486
券	4253	465
亨氏	4231	487
nike	4225	96
粉丝	4217	231
大宝	4163	211
嘉顿	4134	503
白糖	4108	462
九龙斋	4104	591
电风扇	4091	463
惠氏	4075	843
燕麦	4046	597
腐乳	3998	748
李宁	3994	190
茶叶	3982	850
豆干	3982	484
